Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[313760105000268]*	eSF	0.0	3.00	1.0	2.0	3.0	0.0	0.0
[313760105000268]*	eSB	0.0	3.00	0.0	3.0	3.0	0.0	0.0
[313760105000268]*	eMulti	0.0	0.32	1.0	0.0	1.0	0.7	0.0
[313760105000268]*	ACS	0.0	12.00	2.0	10.0	12.0	0.0	0.0
[313760105000270]*	eSF	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000270]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000270]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000270]*	ACS	0.0	4.00	1.0	3.0	4.0	0.0	0.0
[313760105000285]*	eSF	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000285]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000285]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000285]*	ACS	0.0	4.00	2.0	2.0	4.0	0.0	0.0
[313760114000002]*	eSF	0.0	0.25	0.0	0.0	0.0	0.0	0.3
[313760114000002]*	eSB	0.0	0.25	0.0	0.0	0.0	0.0	0.3
[313760114000002]*	eMulti	0.0	0.03	0.0	0.0	0.0	0.0	0.0
[313760114000002]*	ACS	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760115000023]*	eSF	0.0	2.02	0.0	2.0	2.0	0.0	0.0
[313760115000023]*	eSB	0.0	2.02	0.0	2.0	2.0	0.0	0.0
[313760115000023]*	eMulti	0.0	0.21	1.0	0.0	1.0	0.8	0.0
[313760115000023]*	ACS	0.0	8.00	1.0	7.0	8.0	0.0	0.0
