>	L[313760105000180] tel	14
RC[313760105000150]		545	Dist (km)
>	L[313760105000268]	519	0.70
>	L[313760105000268] tel	25
RC[313760105000151]		290	Dist (km)
>	L[313760105000268]	218	1.05
>	L[313760105000268] tel	10
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000152]		124	Dist (km)
>	L[313760115000023]	118	1.95
>	L[313760115000023] tel	5
RC[313760105000161]		452	Dist (km)
>	L[313760105000235]	362	0.72
>	L[313760105000235] tel	18
>	L[SHC1]	67	20.00
>	L[SHC1] tel	3
RC[313760105000162]		327	Dist (km)
>	L[313760105000139]	311	0.42
>	L[313760105000139] tel	15
RC[313760105000163]		322	Dist (km)
>	L[313760105000139]	306	0.44
>	L[313760105000139] tel	15
RC[313760105000164]		490	Dist (km)
>	L[313760105000268]	368	0.50
>	L[313760105000268] tel	18
>	L[SHC1]	73	20.00
>	L[SHC1] tel	3
>	L[THC1]	24	25.00
>	L[THC1] tel	1
RC[313760105000165]		265	Dist (km)
>	L[313760105000125]	199	0.32
>	L[313760105000125] tel	9
>	L[SHC1]	39	20.00
>	L[SHC1] tel	1
>	L[THC1]	13	25.00
>	L[THC1] tel	0
RC[313760105000166]		385	Dist (km)
>	L[313760105000235]	289	1.26
>	L[313760105000235] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000167]		333	Dist (km)
>	L[313760105000285]	317	1.19
>	L[313760105000285] tel	15
RC[313760105000168]		312	Dist (km)
>	L[313760105000168]	312	0.00
RC[313760105000169]		241	Dist (km)
>	L[313760105000168]	229	0.30
>	L[313760105000168] tel	11
RC[313760105000170]		417	Dist (km)
>	L[313760105000102]	313	0.40
>	L[313760105000102] tel	15
>	L[SHC1]	62	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000171]		382	Dist (km)
>	L[313760105000201]	287	0.35
>	L[313760105000201] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000172]		123	Dist (km)
>	L[313760105000180]	117	2.54
>	L[313760105000180] tel	5
RC[313760105000173]		187	Dist (km)
>	L[313760105000235]	178	1.86
>	L[313760105000235] tel	8
RC[313760105000174]		153	Dist (km)
>	L[313760105000235]	145	2.38
>	L[313760105000235] tel	7
RC[313760105000175]		238	Dist (km)
>	L[313760105000132]	190	0.16
>	L[313760105000132] tel	9
>	L[SHC1]	35	20.00
>	L[SHC1] tel	1
RC[313760105000176]		316	Dist (km)
>	L[313760105000168]	300	0.26
>	L[313760105000168] tel	15
RC[313760105000177]		320	Dist (km)
>	L[313760105000180]	304	0.31
>	L[313760105000180] tel	15
RC[313760105000178]		361	Dist (km)
>	L[313760105000180]	343	0.34
>	L[313760105000180] tel	17
RC[313760105000179]		231	Dist (km)
>	L[313760105000180]	220	0.22
>	L[313760105000180] tel	11
RC[313760105000180]		373	Dist (km)
