Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3118602190214]	eSB	1.0	2.97	0.0	1.0	2.0	0.0	1.0
[3118602190214]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602190214]	ACS	6.0	11.97	0.0	6.0	12.0	0.0	0.0
[3118602190680]	eSF	3.0	3.96	0.0	0.0	3.0	0.0	1.0
[3118602190680]	eSB	2.0	3.96	0.0	1.0	3.0	0.0	1.0
[3118602190680]	eMulti	0.0	0.48	0.0	0.0	0.0	0.0	0.5
[3118602190680]	ACS	8.0	15.96	0.0	8.0	16.0	0.0	0.0
[3118602190753]	eSF	1.0	2.93	1.0	0.0	2.0	0.0	0.9
[3118602190753]	eSB	0.0	2.93	0.0	2.0	2.0	0.0	0.9
[3118602190753]	eMulti	0.0	0.35	0.0	0.0	0.0	0.0	0.3
[3118602190753]	ACS	0.0	11.76	0.0	11.0	11.0	0.0	0.8
[3118602190141]	eSF	1.0	1.98	0.0	0.0	1.0	0.0	1.0
[3118602190141]	eSB	0.0	1.98	0.0	1.0	1.0	0.0	1.0
[3118602190141]	eMulti	0.0	0.24	0.0	0.0	0.0	0.0	0.2
[3118602190141]	ACS	3.0	7.98	0.0	5.0	8.0	0.0	0.0
[3118602220245]	eSF	2.0	4.95	2.0	0.0	4.0	0.0	0.9
[3118602220245]	eSB	1.0	4.95	0.0	3.0	4.0	0.0	0.9
[3118602220245]	eMulti	0.0	0.60	0.0	0.0	0.0	0.0	0.6
[3118602220245]	ACS	8.0	19.95	0.0	11.0	19.0	0.0	0.9
[3118602190788]	eSF	1.0	2.77	1.0	0.0	2.0	0.0	0.8
[3118602190788]	eSB	1.0	2.77	0.0	1.0	2.0	0.0	0.8
[3118602190788]	eMulti	0.0	0.31	0.0	0.0	0.0	0.0	0.3
[3118602190788]	ACS	5.0	11.00	0.0	6.0	11.0	0.0	0.0
[CLU_2943]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_2943]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_2943]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_2943]*	ACS	0.0	4.03	0.0	4.0	4.0	0.0	0.0
[CLU_2961]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_2961]*	eSB	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_2961]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_2961]*	ACS	0.0	4.00	1.0	2.0	3.0	0.0	1.0
[CLU_2970]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_2970]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_2970]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[CLU_2970]*	ACS	0.0	4.00	1.0	2.0	3.0	0.0	1.0
[CLU_2971]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_2971]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_2971]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_2971]*	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
[CLU_3051]*	eSF	0.0	0.87	0.0	0.0	0.0	0.0	0.9
[CLU_3051]*	eSB	0.0	0.87	0.0	0.0	0.0	0.0	0.9
[CLU_3051]*	eMulti	0.0	0.09	0.0	0.0	0.0	0.0	0.1
[CLU_3051]*	ACS	0.0	3.42	0.0	3.0	3.0	0.0	0.4
[CLU_3055]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3055]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3055]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[CLU_3055]*	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
[CLU_3060]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3060]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3060]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3060]*	ACS	0.0	4.00	1.0	3.0	4.0	0.0	0.0
[CLU_3084]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3084]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3084]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[CLU_3084]*	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
[CLU_3086]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3086]*	eSB	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3086]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3086]*	ACS	0.0	4.02	1.0	3.0	4.0	0.0	0.0
[CLU_3087]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3087]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3087]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3087]*	ACS	0.0	4.02	1.0	3.0	4.0	0.0	0.0
[CLU_3098]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3098]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3098]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[CLU_3098]*	ACS	0.0	4.01	1.0	3.0	4.0	0.0	0.0
[CLU_3108]*	eSF	0.0	1.00	0.0	0.0	0.0	0.0	1.0
[CLU_3108]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[CLU_3108]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[CLU_3108]*	ACS	0.0	4.00	1.0	3.0	4.0	0.0	0.0
[CLU_3121]*	eSF	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3121]*	eSB	0.0	0.99	0.0	0.0	0.0	0.0	1.0
[CLU_3121]*	eMulti	0.0	0.12	0.0	0.0	0.0	0.0	0.1
[CLU_3121]*	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
