>	L[CLU_3067]	172	1.77
>	L[CLU_3077]	797	0.58
>	L[CLU_3078]	1180	0.00
>	L[CLU_3079]	529	0.68
>	L[CLU_7942]	98	1.74
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190400]		9000	Dist (km)
>	L[CLU_2923]	1049	4.89
>	L[CLU_3021]	1066	2.93
>	L[CLU_3034]	714	1.92
>	L[CLU_3038]	1397	1.21
>	L[CLU_3046]	914	1.86
>	L[CLU_3053]	75	2.71
>	L[CLU_3076]	1536	0.00
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190877]		10345	Dist (km)
>	L[CLU_3035]	548	2.16
>	L[CLU_3036]	1264	1.56
>	L[CLU_3039]	1540	2.90
>	L[CLU_3068]	168	0.90
>	L[CLU_3069]	1352	0.77
>	L[CLU_3070]	2212	1.09
>	L[CLU_3073]	675	0.90
>	L[SHC1]	2069	20.00
>	L[THC1]	517	25.00
PHC[3118602190826]		9000	Dist (km)
>	L[CLU_1894]	1118	0.72
>	L[CLU_3090]	1271	2.99
>	L[CLU_3093]	1227	3.43
>	L[CLU_3102]	411	3.41
>	L[CLU_3103]	728	1.31
>	L[CLU_3105]	1112	1.86
>	L[CLU_3111]	883	3.44
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190729]		5710	Dist (km)
>	L[CLU_3088]	1473	0.51
>	L[CLU_3093]	736	0.00
>	L[CLU_3094]	425	0.40
>	L[CLU_3095]	1648	0.21
>	L[SHC1]	1142	20.00
>	L[THC1]	286	25.00
PHC[3118602190656]		6000	Dist (km)
>	L[CLU_3088]	819	0.51
>	L[CLU_3091]	153	0.43
>	L[CLU_3095]	286	0.21
>	L[CLU_3098]	3242	1.09
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190834]		6000	Dist (km)
>	L[CLU_3085]	1897	2.99
>	L[CLU_3090]	833	0.00
>	L[CLU_3091]	295	0.23
>	L[CLU_3092]	622	0.47
>	L[CLU_3094]	140	0.77
>	L[CLU_3711]	356	1.34
>	L[CLU_3732]	357	0.20
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190710]		5288	Dist (km)
>	L[CLU_3100]	121	0.83
>	L[CLU_3104]	3573	0.00
>	L[CLU_3110]	90	1.07
>	L[CLU_7797]	181	4.93
>	L[SHC1]	1058	20.00
>	L[THC1]	264	25.00
PHC[3118602190796]		5940	Dist (km)
>	L[CLU_3096]	1454	0.00
>	L[CLU_3097]	529	0.29
>	L[CLU_3099]	1713	0.82
>	L[CLU_3110]	759	1.60
>	L[SHC1]	1188	20.00
>	L[THC1]	297	25.00
PHC[3118602190648]		5229	Dist (km)
>	L[CLU_3089]	1702	0.54
>	L[CLU_3094]	456	0.53
>	L[CLU_3097]	122	0.78
>	L[CLU_3100]	1118	1.37
>	L[CLU_3731]	523	0.00
>	L[SHC1]	1046	20.00
>	L[THC1]	261	25.00
PHC[3118602190818]		6272	Dist (km)
>	L[CLU_3101]	1440	0.00
>	L[CLU_3106]	353	4.16
>	L[CLU_3107]	1740	4.96
>	L[CLU_3112]	600	4.04
>	L[CLU_3113]	179	3.76
>	L[CLU_7936]	342	2.14
>	L[CLU_7945]	49	4.29
>	L[SHC1]	1254	20.00
>	L[THC1]	314	25.00
PHC[3118602190885]		15000	Dist (km)
>	L[CLU_3021]	1205	3.88
>	L[CLU_3041]	1793	3.39
>	L[CLU_3042]	851	2.51
>	L[CLU_3043]	1016	0.00
>	L[CLU_3048]	1748	1.51
>	L[CLU_3049]	2265	2.47
>	L[CLU_3052]	645	2.80
>	L[CLU_3055]	1726	3.13
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118607053355]		15000	Dist (km)
>	L[CLU_3039]	396	2.49
>	L[CLU_3072]	2173	0.65
>	L[CLU_3077]	1184	0.42
>	L[CLU_3078]	1104	0.87
>	L[CLU_3080]	1386	1.27
>	L[CLU_3081]	1677	0.00
>	L[CLU_3082]	1537	0.44
>	L[CLU_3109]	1793	0.95
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190192]		6000	Dist (km)
>	L[CLU_3127]	1799	0.74
>	L[CLU_3131]	511	0.32
>	L[CLU_3132]	1905	0.00
>	L[CLU_3138]	285	0.49
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190214]		9000	Dist (km)
>	L[CLU_3135]	2249	0.00
>	L[CLU_3136]	1266	0.57
>	L[CLU_3137]	1664	0.58
>	L[CLU_3138]	1438	0.93
>	L[CLU_3140]	132	1.35
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190680]		12000	Dist (km)
>	L[CLU_1307]	737	1.55
>	L[CLU_1359]	607	0.29
>	L[CLU_3139]	64	1.91
>	L[CLU_3142]	2304	1.24
>	L[CLU_3145]	1984	0.86
>	L[CLU_3146]	1010	1.63
>	L[CLU_3159]	2293	0.00
>	L[SHC1]	2400	20.00
>	L[THC1]	600	25.00
PHC[3118602190753]		9000	Dist (km)
>	L[CLU_2922]	1083	0.39
>	L[CLU_3156]	1984	3.09
>	L[CLU_3180]	941	2.17
>	L[CLU_3181]	351	2.68
>	L[CLU_3182]	1627	3.07
>	L[CLU_3185]	763	2.93
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190141]		6000	Dist (km)
>	L[CLU_3179]	2351	0.00
>	L[CLU_3183]	2149	0.69
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602220245]		15000	Dist (km)
>	L[CLU_3144]	478	2.85
>	L[CLU_3148]	1251	2.01
>	L[CLU_3149]	2090	0.88
>	L[CLU_3150]	604	1.13
>	L[CLU_3153]	1619	1.67
>	L[CLU_3154]	2223	1.25
>	L[CLU_3191]	1984	0.00
>	L[CLU_3192]	1001	0.45
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190788]		9000	Dist (km)
>	L[CLU_2931]	1422	2.18
>	L[CLU_3195]	2297	3.16
>	L[CLU_3196]	677	2.96
>	L[CLU_3204]	1501	2.30
>	L[CLU_3207]	853	1.77
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[CLU_2943]		3000	Dist (km)
>	L[CLU_3214]	2003	2.25
>	L[CLU_952]	247	0.17
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_2961]		3000	Dist (km)
>	L[CLU_2956]	1707	0.71
>	L[CLU_2959]	386	0.60
>	L[CLU_2960]	158	0.23
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_2970]		3000	Dist (km)
>	L[CLU_2944]	478	3.74
>	L[CLU_2951]	112	4.42
>	L[CLU_2959]	58	1.74
>	L[CLU_2960]	1180	1.27
>	L[CLU_2969]	422	0.90
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_2971]		3000	Dist (km)
>	L[CLU_1175]	77	0.43
>	L[CLU_2968]	569	0.64
>	L[CLU_2969]	65	0.83
>	L[CLU_2971]	1539	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3051]		3000	Dist (km)
>	L[CLU_3030]	34	0.72
>	L[CLU_3051]	2216	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3055]		3000	Dist (km)
>	L[CLU_3023]	296	1.17
>	L[CLU_3055]	590	0.00
>	L[CLU_3057]	1180	0.96
>	L[CLU_3059]	184	0.65
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3060]		3000	Dist (km)
>	L[CLU_3040]	65	0.80
>	L[CLU_3060]	2185	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3084]		3000	Dist (km)
>	L[CLU_3034]	172	2.98
>	L[CLU_3040]	193	4.03
>	L[CLU_3059]	287	3.79
>	L[CLU_3067]	1008	1.37
>	L[CLU_3084]	590	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3086]		3000	Dist (km)
>	L[CLU_3086]	2107	0.00
>	L[CLU_3103]	143	2.69
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3087]		3000	Dist (km)
>	L[CLU_3085]	298	2.46
>	L[CLU_3086]	96	0.79
>	L[CLU_3087]	1477	0.00
>	L[CLU_3103]	143	3.39
>	L[CLU_7939]	236	4.96
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3098]		2798	Dist (km)
>	L[CLU_3103]	1095	3.43
>	L[CLU_7797]	454	4.99
>	L[CLU_7943]	257	2.30
>	L[CLU_7944]	293	3.76
>	L[SHC1]	560	20.00
>	L[THC1]	140	25.00
PHC[CLU_3108]		3000	Dist (km)
>	L[CLU_3043]	590	4.18
>	L[CLU_3108]	819	0.00
>	L[CLU_7923]	480	3.33
>	L[CLU_7932]	258	4.85
>	L[CLU_7937]	1	3.30
>	L[CLU_7938]	100	1.28
>	L[CLU_7940]	2	4.42
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3121]		3000	Dist (km)
>	L[CLU_3118]	1286	1.13
>	L[CLU_3120]	665	2.17
>	L[CLU_7949]	299	1.52
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3128]		3000	Dist (km)
>	L[CLU_3128]	2004	0.00
>	L[CLU_3130]	246	0.30
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3141]		3000	Dist (km)
>	L[CLU_3139]	2176	0.85
>	L[CLU_3141]	74	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3143]		3000	Dist (km)
>	L[CLU_2935]	37	4.99
>	L[CLU_3143]	1696	0.00
>	L[CLU_3155]	517	0.25
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3160]		3000	Dist (km)
>	L[CLU_3158]	643	0.13
>	L[CLU_3160]	1607	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3166]		3000	Dist (km)
>	L[CLU_2935]	143	3.45
>	L[CLU_3157]	882	1.67
>	L[CLU_3158]	751	2.04
>	L[CLU_3180]	474	1.03
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3176]		3000	Dist (km)
>	L[CLU_3176]	2250	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3200]		3000	Dist (km)
>	L[CLU_3200]	2250	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_3214]		3000	Dist (km)
>	L[CLU_1296]	106	4.11
>	L[CLU_2948]	143	2.88
>	L[CLU_3118]	512	3.14
>	L[CLU_3123]	882	3.50
>	L[CLU_3129]	407	3.98
>	L[CLU_7954]	26	3.88
>	L[CLU_7955]	175	3.74
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
PHC[CLU_7923]		3000	Dist (km)
>	L[CLU_2984]	35	3.74
>	L[CLU_3042]	1341	3.50
>	L[CLU_7923]	874	0.00
>	L[SHC1]	600	20.00
>	L[THC1]	150	25.00
